Component Name,Level,Component Yield,BoM Quantity per Assembly,Quantity per Assembly,Quantity per Top Level Assembly,On Hand,Available,Back Ordered,On Order,Units,Average Cost,Description,Minimum Quantity
17000145,1,100,1,1,1,289,287,0,0,Each,0.25318339,"Connector, 2 pin,",
17000142,1,100,4,4,4,123,115,0,0,Each,2.90821138,"Fitting, Elbow, 1/4 Tube x 1/4 Tube",
17000140,1,100,0,0,0,8,5,0,12,Each,18.5575,"Lubricant, Flourinated, Krytox",
17000135,1,100,2,2,2,185,181,0,0,Each,1.87,"Standoff, 6-32 x .75, Hex, F-F, SS",
17000131,1,100,1,1,1,155,153,0,0,Each,0.17916129,"Clip, Wire .125",
17000130,1,100,1,1,1,128,126,0,0,Each,26.75,"Window, Optical, 20mm",
17000128,1,100,1,1,1,542,540,0,0,Each,0.05723247,"Washer, Flat, #4, SS",
17000127,1,100,2,2,2,866,862,0,0,Each,0.09758661,"Washer, .250 ID x .450 OD x .010, Teflon",
17000126,1,100,4,4,4,717,709,0,0,Each,0.11917713,"Washer, Flat, .247 ID x.093, Nylon",
17000125,1,100,4,4,4,331,323,0,0,Each,0.85782477,"Washer, #8, Shoulder, Nylon",
17000101,1,100,1,1,1,138,131,0,0,Each,0.28804348,O-ring A-013,
17000099,1,100,2,2,2,110,96,0,0,Each,0.30090909,O-ring A-014,
17000098,1,100,2,2,2,557,542,0,0,Each,0.25387792,O-ring A-012,
17000097,1,100,4,4,4,376,348,0,0,Each,0.2,O-ring A-009,
17000094,1,100,2,2,2,332,318,0,0,Each,0.24364458,O-ring -011,
17000091,1,100,4,4,4,340,332,0,0,Each,0.99714706,"Foot, 1x1x.250, 3M#SJ5705",
17000073,1,100,9,9,9,511,493,0,0,Each,0.20422701,"Screw, 8-32 x 1/2, Button, Socket, Blk O",
17000068,1,100,4,4,4,268,260,0,0,Each,0.0338806,"Nut, 6-32 x 5/16, M/S, Hex",
17000067,1,100,1,1,1,161,158,0,0,Each,0.03496894,"Nut, 10-32 x 3/8, M/S, Hex, SS",
17000066,1,100,6,6,6,302,290,0,0,Each,0.21682119,"Screw, 6-32x 3/4, Button, Socket, Blk Ox",
17000064,1,100,2,2,2,144,140,0,0,Each,0.14375,"Screw, 4-40 x 1/4, Button, Socket, Blk O",
17000063,1,100,3,3,3,281,275,0,0,Each,0.03021352,"Nut, 4-40 x.1/4, M/S, Hex, SS",
17000062,1,100,6,6,6,338,326,0,0,Each,0.09911243,"Screw, 4-40x 5/16, PanHd, Phil, SS",
17000061,1,100,4,4,4,442,424,0,0,Each,0.20271493,"Washer, #4, Star, External, Zinc",
17000060,1,100,11,11,11,640,618,0,0,Each,0.01773438,"Washer, #8, Split Lock, Zinc",
17000059,1,100,23,23,23,"1,127","1,075",0,0,Each,0.02079858,"Washer, #4, Split Lock, Zinc",
17000055,1,100,4,4,4,532,524,0,0,Each,0.10466165,"Screw, 8-32 x.3/4, Button, Socket, S.S.",
17000054,1,100,4,4,4,222,214,0,0,Each,0.16612613,"Screw, 6-32 x 1/2, Button, Socket, Blk O",
17000053,1,100,4,4,4,210,197,0,0,Each,0.10166667,"Screw, 4-40 x 3/8, Panhd, Phillips, SS",
17000048,1,100,14,14,14,715,687,0,0,Each,0.01827972,"Screw, 4-40 x 1/4, Panhd, Phillips, Zinc",
17000040,1,100,42.5,42.5,42.5,"11,402.50","11,112.50",0,0,Inch,0.02549704,"Tubing, Polyurethane, 1/4 OD, .045 Wall,",
17000039,1,100,22.5,22.5,22.5,"11,895","11,850",0,0,Inch,0.00968979,"Tubing, Polyurethane, 1/8 OD, .030 Wall,",
17000027,1,100,13,13,13,791,765,0,0,Each,0.01501896,"WASHER, #6, LOCK, Zinc Plated",
15241126,1,100,2,2,2,73,69,0,77,Each,9.82753425,"Thermistor, 8-32",
15240154,1,100,1,1,1,74,64,0,40,Each,25.515,"Shield, Actuator",
15240052,1,100,1,1,1,190,188,0,0,Each,2.86347368,"Catch, Door Latch",
15240011,1,100,1,1,1,327,324,0,0,Each,2.37584098,"Actuator, Wash, Passive",
15220001,1,100,2,2,2,"31,503","31,194",2,"250,000",Each,0.02620004,"Label, FastPack, Blank",
15210106,1,100,1,1,1,96,94,0,0,Each,22.61,PCB Assembly Shutter PhotoSensor,
15210102,1,100,1,1,1,167,162,0,0,Each,23.47,"PCB Assembly, Latch PhotoSensor",
15000471,1,100,1,1,1,181,179,0,0,Each,97.56,"Chassis, Analyzer",
15000468,1,100,1,1,1,90,88,0,0,Each,195,Manifold Plate IP,
15000467,1,100,1,1,1,130,128,0,0,Each,109.06,Main Heater IP,
15000466,1,100,2,2,2,329,325,0,0,Each,7.81568389,Door Latch Pro Cable,
15000455,1,100,1,1,1,170,168,0,0,Each,17.14652941,Pressure Transducer Mount,
15000451,1,100,1,1,1,116,114,0,60,Each,213.37,8 Valve Bank,
15000450,1,100,1,1,1,105,103,0,60,Each,187.42,7 Valve Bank,
15000343,1,100,1,1,1,106,104,0,0,Each,25.79,CPU II Back Plate,
15000342,1,100,1,1,1,169,167,0,0,Each,56,PMT Shutter Holder,
15000336,1,100,1,1,1,158,156,0,0,Each,4.96,Seitz Motor Gear,
15000335,1,100,1,1,1,617,615,0,0,Each,12.89,Magnet Carousel Gear,
15000322,1,100,1,1,1,175,173,0,0,Each,24.66811429,Motor Mount,
15000320,1,100,1,1,1,78,76,77,77,Each,24.81,Barcode Reader Bracket,
15000299,1,100,11,11,11,376,354,0,"1,075",Each,3.33,Acrylic Manifold Brass Fittings,
15000291,1,100,1,1,1,80,73,0,0,Each,16.7,Door Label IP II,
15000270,1,100,1,1,1,357,354,0,0,Each,168.38,EEC Magnet Carousel,
15000157,1,100,2,2,2,190,186,0,0,Each,3.17,"Bracket, PCA/Plate",
15000148,1,100,1,1,1,147,145,0,0,Each,21.8,"Cable, Door Interconnect",
15000147,1,100,1,1,1,57,55,0,50,Each,10.55,"Cable, Main Interconnect",
15000143,1,100,1,1,1,120,118,0,0,Each,14.25,"Bracket, Cable, Door",
15000142,1,100,1,1,1,119,117,0,0,Each,12.75,"Support, Cable, Door",
15000111,1,100,1,1,1,95,93,0,0,Each,49.92,"Clevis, Door Closer, Bearing",
15000110,1,100,1,1,1,170,168,0,0,Each,11.41,"Hinge, Clevis, Door",
15000066,1,100,1,1,1,71,69,0,80,Each,90.26633803,"Housing, Rear, Analyzer",
15000031,1,100,1,1,1,84,82,0,0,Each,20.9,"Hinge Leaf, Door, Bearing",
15000030,1,100,1,1,1,129,127,0,0,Each,18.73736434,"Hinge, Door, Bearing",
13000042,1,100,1,1,1,61,59,0,80,Each,55.62,"PCA, Main Interconnect Pro",
13000025,1,100,1,1,1,272,270,0,0,Each,117.61,Pressure Transducer PCA,
13000024,1,100,1,1,1,105,103,0,100,Each,224.6075238,Analyzer CPU II,
13000012,1,100,1,1,1,152,150,0,0,Each,47.83,"PCA, Door Interconnect",
8000045,1,100,1,1,1,17,17,0,0,Each,117.17,IP Front Housing Assembly,
15000235,2,100,1,1,1,64,63,0,0,Each,8.81,"Cable, Display",
15000250,2,100,1,1,1,260,254,0,0,Each,2.78,Display Cover,
15000253,2,100,1,1,1,92,91,0,0,Each,38.19554348,Door Cover,
15000293,2,100,1,1,1,68,62,0,0,Each,12.4,Analyzer IP Overlay,
17000412,2,100,1,1,1,198,197,0,500,Each,55.37787879,Vacuum Fluorescent Display w/Header,
17000430,2,100,3,3,3,139,136,0,0,Each,0.85330935,Display Cover Nut,
17000433,2,100,4,4,4,296,292,0,0,Each,0.08557432,"Screw, 2-56 x 3/16 self-tapping PHP, Zin",
CD Labor Consumption,2,100,0,0,0,0,0,0,0,,,,
7000030,1,100,1,1,1,17,17,0,0,Each,612.39,Actuator Plate Assembly IP,
15000090,2,100,1,1,1,245,244,0,0,Each,20.54,"Hinge, Base, Left",
15000091,2,100,1,1,1,181,180,0,0,Each,16.02309392,"Hinge, Base, Right",
15000174,2,100,11,11,11,854,843,0,0,Each,3.22,"Screw, Shoulder, Actuator",
15000287,2,100,1,1,1,127,126,0,0,Each,17.7,Sample Valve Actuator IP,
15000288,2,100,1,1,1,107,105,0,0,Each,366.5956075,Actuator Plate IP,
15240003,2,100,1,1,1,178,177,0,0,Each,16.13348315,"Actuator Valve, Wash",
15240004,2,100,1,1,1,164,163,0,0,Each,19.19085366,"Actuator, Valve, Waste",
15240005,2,100,2,2,2,349,347,0,0,Each,14.18,"Actuator, Substrate-Antibody",
15240006,2,100,4,4,4,287,283,0,120,Each,9.31062718,"Actuator, Clamp",
15240009,2,100,1,1,1,93,92,0,0,Each,14.6416129,"Actuator, Sample",
15240010,2,100,1,1,1,125,124,0,0,Each,14.31808,"Actuator, Wash",
17000052,2,100,1,1,1,468,467,0,0,Each,0.08215812,"Screw, 4-40 x 1, Cap, Socket, Blk Oxide",
17000057,2,100,4,4,4,176,172,0,0,Each,0.20988636,"Screw, 8-32 x 3/4, Flathd, Socket, Blk O",
17000059,2,100,1,1,1,"1,127","1,075",0,0,Each,0.02079858,"Washer, #4, Split Lock, Zinc",
17000115,2,100,11,11,11,807,796,0,0,Each,0.41700124,"Spring, Piston, Actuator",
17000140,2,100,0,0,0,8,5,0,12,Each,18.5575,"Lubricant, Flourinated, Krytox",
17000194,2,100,0,0,0,2,2,0,0,Each,36.935,Threadlocker RoHS Compliant,
