Component Name,Level,Component Yield,BoM Quantity per Assembly,Quantity per Assembly,Quantity per Top Level Assembly,On Hand,Available,Back Ordered,On Order,Units,Average Cost,Description,Minimum Quantity
15000066,1,100,1,1,1,87,76,0,40,Each,90.31816092,"Housing, Rear, Analyzer",
15000031,1,100,1,1,1,120,110,0,0,Each,25.7125,"Hinge Leaf, Door, Bearing",
15000030,1,100,1,1,1,113,103,0,0,Each,18.73699115,"Hinge, Door, Bearing",
13000042,1,100,1,1,1,125,115,0,0,Each,70.04864,"PCA, Main Interconnect Pro",
13000025,1,100,1,1,1,244,233,0,0,Each,117.61,Pressure Transducer PCA,
13000024,1,100,1,1,1,126,115,0,50,Each,214.235,Analyzer CPU II,
13000012,1,100,1,1,1,139,129,0,0,Each,47.83,"PCA, Door Interconnect",
8000045,1,100,1,1,1,16,6,0,0,Each,120.46625,IP Front Housing Assembly,
15000235,2,100,1,1,1,46,46,0,0,Each,8.81,"Cable, Display",
15000250,2,100,1,1,1,216,215,0,0,Each,2.78,Display Cover,
15000253,2,100,1,1,1,68,68,0,0,Each,38.195,Door Cover,
15000293,2,100,1,1,1,27,26,0,50,Each,12.4,Analyzer IP Overlay,
17000412,2,100,1,1,1,164,163,0,500,Each,55.37756098,Vacuum Fluorescent Display w/Header,
17000430,2,100,3,3,3,164,161,0,0,Each,0.82371951,Display Cover Nut,
17000433,2,100,4,4,4,192,188,0,0,Each,0.08572917,"Screw, 2-56 x 3/16 self-tapping PHP, Zin",
CD Labor Consumption,2,100,0,0,0,0,0,0,0,,,,
7000030,1,100,1,1,1,16,6,0,0,Each,591.721875,Actuator Plate Assembly IP,
15000090,2,100,1,1,1,233,233,0,0,Each,20.54,"Hinge, Base, Left",
15000091,2,100,1,1,1,169,169,0,0,Each,16.02313609,"Hinge, Base, Right",
15000174,2,100,11,11,11,733,733,0,0,Each,3.22,"Screw, Shoulder, Actuator",
15000287,2,100,1,1,1,109,109,0,0,Each,17.7,Sample Valve Actuator IP,
15000288,2,100,1,1,1,81,79,0,0,Each,366.5949383,Actuator Plate IP,
15240003,2,100,1,1,1,167,167,0,0,Each,16.13347305,"Actuator Valve, Wash",
15240004,2,100,1,1,1,153,153,0,0,Each,19.19084967,"Actuator, Valve, Waste",
15240005,2,100,2,2,2,327,327,0,0,Each,14.18,"Actuator, Substrate-Antibody",
15240006,2,100,4,4,4,363,363,0,0,Each,10.4568595,"Actuator, Clamp",
15240009,2,100,1,1,1,82,82,0,0,Each,14.64158537,"Actuator, Sample",
15240010,2,100,1,1,1,114,114,0,0,Each,14.31807018,"Actuator, Wash",
17000052,2,100,1,1,1,391,390,0,0,Each,0.08253197,"Screw, 4-40 x 1, Cap, Socket, Blk Oxide",
17000057,2,100,4,4,4,108,104,0,0,Each,0.20981481,"Screw, 8-32 x 3/4, Flathd, Socket, Blk O",
17000059,2,100,1,1,1,388,146,0,0,Each,0.02072165,"Washer, #4, Split Lock, Zinc",
17000115,2,100,11,11,11,"1,686","1,675",0,0,Each,0.49351127,"Spring, Piston, Actuator",
17000140,2,100,0,0,0,6,6,0,0,Each,17.41166667,"Lubricant, Flourinated, Krytox",
17000194,2,100,0,0,0,2,2,0,0,Each,36.935,Threadlocker RoHS Compliant,
17000513,2,100,1,1,1,397,374,0,0,Each,0.02745592,#4 Washer 0.21 OD,
CD Labor Consumption,2,100,0,0,0,0,0,0,0,,,,
7000027,1,100,1,1,1,21,11,0,0,Each,644.4057143,Door Assembly IP,
15000257,2,100,1,1,1,64,55,0,0,Each,72.25,Shutter Cylinder,
15000277,2,100,1,1,1,61,61,0,0,Each,287.34,Door Plate IP,
15000278,2,100,1,1,1,162,162,0,0,Each,49.25,Door Insert,
15000279,2,100,1,1,1,168,168,0,0,Each,48.81517857,Shutter Holder B IP,
15000280,2,100,1,1,1,164,164,0,0,Each,85.5,Door Heater IP,
15240055,2,100,1,1,1,198,198,0,0,Each,18.38,"Tube, Reflector, Stainless Steel",
15240150,2,100,1,1,1,45,45,0,0,Each,49.5,Shutter Blade Assembly,
15240151,2,100,1,1,1,82,82,0,0,Each,26.33,Shutter Holder A,
17000021,2,100,4,4,4,464,460,0,0,Each,0.06625,"SCREW, 6-32 X 5/16, PH, PHILLIPS",
17000043,2,100,6,6,6,318,318,0,0,Each,0.07349057,"Screw, 8-32 x 3/8, Socket, Flathd, SS",
17000053,2,100,5,5,5,316,267,0,0,Each,0.10721519,"Screw, 4-40 x 3/8, Panhd, Phillips, SS",
17000058,2,100,2,2,2,36,36,0,0,Each,1.0125,"Set Screw, 8-32 x 1/2, Nylon Tip",
17000059,2,100,5,5,5,388,146,0,0,Each,0.02072165,"Washer, #4, Split Lock, Zinc",
17000089,2,100,1,1,1,98,98,0,0,Each,1.50193878,"Ftg, Elbow, 10-32 M to 1/8 OD Tube",
17000098,2,100,1,1,1,393,371,0,0,Each,0.25346056,O-ring A-012,
17000140,2,100,0,0,0,6,6,0,0,Each,17.41166667,"Lubricant, Flourinated, Krytox",
17000194,2,100,0,0,0,2,2,0,0,Each,36.935,Threadlocker RoHS Compliant,
17000445,2,100,1,1,1,317,317,0,0,Each,0.23268139,"3/32 E-Clip, SS",
17000516,2,100,1,1,1,54,54,0,0,Each,1.70814815,"Threaded Flow Restrictor, 10-32 x 0.010",
CD Labor Consumption,2,100,0,0,0,0,0,0,0,,,,
7000021,1,100,1,1,1,21,11,0,0,Each,149.4628571,Door Latch Assembly,
15000237,2,100,1,1,1,113,113,0,0,Each,124.2249558,Door Latch Cylinder,
15000300,2,100,1,1,1,109,109,0,0,Each,22.5,Door Latch Wedge,
17000067,2,100,1,1,1,134,124,0,0,Each,0.035,"Nut, 10-32 x 3/8, M/S, Hex, SS",
17000320,2,100,1,1,1,107,107,0,0,Each,2.68,"Ftg, Adapter, 10-32 to 1/8 in. OD",
17000321,2,100,1,1,1,209,199,0,0,Each,0.02287081,"Washer #10, Split",
CD Labor Consumption,2,100,0,0,0,0,0,0,0,,,,
7000036,1,100,1,1,1,0,0,2,0,Each,,"Assembly, IP Valve Plate",
15000473,1,100,1,1,1,0,0,2,0,Each,,"7-Valve Bank, Connectorized",
15000474,1,100,1,1,1,0,0,2,0,Each,,"8-Valve Bank, Connectorized",
